phi_0,dV_ges,Sep. Eff.,Vol_imbalance [%],status
0.0001,250,[0.25016933],0.0,success
0.00015,250,[0.52493374],0.0,success
0.0002,250,[0.86653567],0.0,success
0.000225,250,[0.90791741],0.0,success
0.0003,250,0.933664825867625,0.0,success
0.0005,250,0.9852454223145667,0.0,success
0.0001,500,[0.19341696],0.0,success
0.00015,500,[0.46333058],0.0,success
0.0002,500,[0.81493191],0.0,success
0.000225,500,[0.8746101],0.0,success
0.0003,500,0.9329880091563918,0.0,success
0.0005,500,0.9850387834761184,0.0,success
0.0001,750,[0.45852136],0.0,success
0.00015,750,[0.72488524],0.0,success
0.0002,750,[0.86914868],0.0,success
0.000225,750,[0.88867461],0.0,success
0.0003,750,0.9316733522167275,0.0,success
0.0005,750,0.9842673569565622,0.0,success
0.0001,1000,[0.38441896],0.0,success
0.00015,1000,[0.6286997],0.0,success
0.0002,1000,[0.80470958],0.0,success
0.000225,1000,[0.86184719],0.0,success
0.0003,1000,0.9308765003248022,0.0,success
0.0005,1000,0.983370971363465,0.0,success
0.0001,1250,[0.33984971],1.5612511283791264e-14,success
0.00015,1250,[0.56779569],1.5612511283791264e-14,success
0.0002,1250,[0.75147651],1.5612511283791264e-14,success
0.000225,1250,[0.81727222],1.5612511283791264e-14,success
0.0003,1250,0.9231236448986556,1.5612511283791264e-14,success
0.0005,1250,0.9828971392555632,1.5612511283791264e-14,success
0.0001,1500,[0.30264007],0.0,success
0.00015,1500,[0.51196989],0.0,success
0.0002,1500,[0.69739033],0.0,success
0.000225,1500,[0.76991823],0.0,success
0.0003,1500,0.8962908575144208,0.0,success
0.0005,1500,0.9817838617423996,0.0,success
0.0001,1750,[0.27367466],0.0,success
0.00015,1750,[0.46620798],0.0,success
0.0002,1750,[0.64804555],0.0,success
0.000225,1750,[0.72408014],0.0,success
0.0003,1750,0.8672878596352462,0.0,success
0.0005,1750,0.9805073285222827,0.0,success
0.0001,2000,[0.25099177],0.0,success
0.00015,2000,[0.42860609],0.0,success
0.0002,2000,[0.60471175],0.0,success
0.000225,2000,[0.68176623],0.0,success
0.0003,2000,0.8386076864730682,0.0,success
0.0005,2000,0.9788190052170357,0.0,success
