exp,phi_0,dV_ges,eps_0,h_dis_0,h_d_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status,error
2mmol_21C,0.000816497,989.5435891,0.500171616,0.009791301,0.093969865,0.0108854020185266,0.9999988294402778,1.9721858965797307e-14,success,
2mmol_21C,0.00068346,980.5870073,0.499845163,0.012549571,0.094418979,0.0119274197149407,0.9999917274621016,0.0,success,
2mmol_21C,0.000548987,991.1201578,0.500191781,0.013882892,0.093405975,0.0132791986078807,0.9999200377621098,0.0,success,
2mmol_21C,0.000620961,993.926823,0.399336039,0.011040034,0.094444032,0.0098536594962692,0.999955034326332,0.0,success,
2mmol_21C,0.000647006,1003.109253,0.400319063,0.012498429,0.094668604,0.0100642946131016,0.999968828141187,9.727574063529788e-15,success,
2mmol_21C,0.00061865,1000.554233,0.400006465,0.018594007,0.093320993,0.0111288652865512,0.9999523661195132,0.0,success,
2mmol_21C,0.00062456,1008.064412,0.30172066,0.016862005,0.095166061,0.0084827912819683,0.9999277345248564,0.0,success,
2mmol_21C,0.000576559,998.3235942,0.299119898,0.023542481,0.094227419,0.0096721404063963,0.999857252001762,0.0,success,
2mmol_21C,0.000496655,1008.950248,0.302319195,0.02379029,0.091889493,0.0104855415745944,0.9994651026818816,0.0,success,
2mmol_21C,0.000929618,1503.072066,0.499998618,0.022013879,0.090565321,0.0171239148080859,0.9999970782848132,0.0,success,
2mmol_21C,0.000953331,1498.638593,0.499945231,0.020151374,0.091140492,0.0165091032304059,0.999997853865816,6.511122560133843e-15,success,
2mmol_21C,0.00093358,1493.811374,0.500213637,0.022357767,0.090469388,0.0170735395119753,0.9999973051281466,6.532163111223935e-15,success,
2mmol_21C,0.000776742,1493.105039,0.399238721,0.019876979,0.09137253,0.0145839240167617,0.99996277395366,0.0,success,
2mmol_21C,0.000780867,1501.628884,0.399947042,0.021828258,0.090349105,0.014995596999855,0.9999633454128272,0.0,success,
2mmol_21C,0.00073864,1494.634832,0.399263089,0.025078844,0.088626856,0.0159246607983797,0.9999378071018784,1.3057128528595056e-14,success,
2mmol_21C,0.000644763,1499.100005,0.299823764,0.022362856,0.097427525,0.0130685576075937,0.999707572283246,0.0,success,
2mmol_21C,0.000612015,1499.705881,0.29997456,0.0220948,0.112081565,0.0136783246116581,0.9996245634297544,0.0,success,
2mmol_21C,0.000563798,1499.910856,0.299958359,0.043181312,0.107745805,0.0318577224348764,0.9993324537997312,0.0,success,
2mmol_21C,0.000813633,2004.54241,0.500211132,0.025747382,0.087769468,0.0242557054219622,0.999947341824837,0.0,success,
2mmol_21C,0.000802791,1999.767649,0.500026091,0.026608232,0.088393718,0.0246534122757926,0.9999417651874172,0.0,success,
2mmol_21C,0.000800493,1978.16349,0.500336964,0.025691616,0.088917834,0.0242313039101677,0.9999434774675864,0.0,success,
2mmol_21C,0.000706288,2000.068326,0.399997534,0.027059592,0.091538256,0.0218476358410627,0.9996891308609815,0.0,success,
2mmol_21C,0.000681383,2000.556497,0.400029574,0.025703724,0.090413743,0.0216875754301081,0.9995687960645976,0.0,success,
2mmol_21C,0.0006818,2002.684821,0.40025025,0.027538783,0.089945333,0.0222970423050836,0.999569667479426,0.0,success,
2mmol_21C,0.000573457,2001.080323,0.300308882,0.049601229,0.106041021,0.0403432901702562,0.9982848860745168,0.0,success,
2mmol_21C,0.001060833,905.1023872,0.669563558,0.012357302,0.095142348,0.0124126736189662,0.9999999908728748,0.0,success,
2mmol_21C,0.000802395,998.4437317,0.499859416,0.018851822,0.102801178,0.0126670467366832,0.9999985946802176,0.0,success,
2mmol_21C,0.000691448,995.6153772,0.500285857,0.013759564,0.10897448,0.01264997792975,0.9999928851283576,0.0,success,
2mmol_21C,0.000595906,1000.709477,0.499898702,0.0188165,0.105020287,0.0141374496858139,0.9999694334258046,0.0,success,
2mmol_21C,0.000620887,998.966643,0.399515934,0.019607932,0.101170475,0.0114358497013463,0.9999601247615884,0.0,success,
2mmol_21C,0.00059944,999.5966291,0.400065471,0.024784076,0.097689174,0.0123317786913258,0.9999422860408694,0.0,success,
2mmol_21C,0.000616771,1003.679909,0.400382518,0.024416123,0.100596023,0.0123054417229805,0.9999571191405016,0.0,success,
2mmol_21C,0.000595618,1007.0927,0.300563236,0.023324445,0.100118855,0.0097143659486087,0.9998991192951708,0.0,success,
2mmol_21C,0.000578936,993.7884748,0.298400949,0.024321518,0.099362309,0.0098607423044164,0.9998754148382546,0.0,success,
2mmol_21C,0.000492655,993.4503634,0.298595166,0.019255773,0.104217074,0.0096947286145202,0.99953618552238,0.0,success,
2mmol_21C,0.000912927,1500.5413,0.500445132,0.020620128,0.103834646,0.0175879785452836,0.9999973231715348,0.0,success,
2mmol_21C,0.00098826,1501.123497,0.500030616,0.017689675,0.105810825,0.0165858699158884,0.9999989709208388,0.0,success,
2mmol_21C,0.000943609,1500.993866,0.499986655,0.021720821,0.103615651,0.0176402605173359,0.99999817533831,0.0,success,
2mmol_21C,0.000778942,1498.665097,0.399869956,0.023848424,0.098667576,0.0158237150586458,0.9999683718407733,0.0,success,
2mmol_21C,0.000781086,1499.913252,0.400039439,0.027791892,0.095854442,0.0165180718610738,0.9999679880283164,0.0,success,
2mmol_21C,0.000741807,1500.215265,0.399939766,0.027369943,0.097766817,0.0168617106100963,0.9999492136052758,0.0,success,
2mmol_21C,0.000637372,1500.051467,0.299942499,0.026047677,0.10857765,0.0143297389337307,0.9997243782430598,0.0,success,
2mmol_21C,0.000631812,1500.25854,0.300049352,0.040719332,0.185582722,,,,failed,All components of the initial state `y0` must be finite.
