exp,phi_0,dV_ges,eps_0,h_dis_0,h_d_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status,error,h_c_0
2mmol_30C,0.000734309,2000.66034,0.500126848,0.026662858,0.089674559,0.0051282840383908,0.9996165376732004,0.0,success,,
2mmol_30C,0.000698241,2002.427889,0.500111765,0.025932648,0.089625669,0.0051019803526949,0.9995137328742582,0.0,success,,
2mmol_30C,0.000686666,2012.648973,0.500056697,0.025288621,0.089115579,0.00521499892466,0.9994512632423472,0.0,success,,
2mmol_30C,0.000603176,1999.154375,0.399837705,0.023257283,0.0929496,0.0042807875975504,0.99808947853533,0.0,success,,
2mmol_30C,0.00060376,1998.748421,0.399936998,0.023698463,0.09186832,0.0042691239604652,0.9981806302685624,0.0,success,,
2mmol_30C,0.000724233,1011.658543,0.504979029,0.022361436,0.094290947,0.0026216211289308,0.9996198268324265,0.0,success,,
5mmol_30C,0.000811755,1501.925813,0.500081897,0.025173662,0.091915671,0.0033014463892125,0.9996484081986188,6.4968718613863645e-15,success,,
5mmol_30C,0.000796639,1500.334629,0.500019884,0.024801119,0.092305314,0.0031721132370752,0.9996252000638918,0.0,success,,
5mmol_30C,0.000759009,1500.54942,0.500010124,0.024511805,0.091771162,0.003257830466196,0.9995026696194778,0.0,success,,
5mmol_30C,0.000750961,1745.095888,0.499998599,0.024870665,0.090949002,0.0037592400733849,0.9994728434570944,5.5915664116042766e-15,success,,
5mmol_30C,0.000763323,1753.050784,0.500061987,0.025023548,0.091166435,0.0039064298178649,0.9994824908147868,0.0,success,,
5mmol_30C,0.000723707,1752.592616,0.500020691,0.0243341,0.090262733,0.0038000298736869,0.999371063935039,0.0,success,,
5mmol_30C,0.000701074,1997.359584,0.499814357,0.025514657,0.089684443,0.0044864715984729,0.9991951566618092,0.0,success,,
5mmol_30C,0.000712062,2001.847182,0.500082703,0.025693544,0.089956089,0.0043987474061879,0.999286156613742,0.0,success,,
5mmol_30C,0.000699313,2002.089285,0.499927696,0.025077159,0.089725541,0.0045074977095538,0.9991771108353398,0.0,success,,
5mmol_30C,0.00077305,1755.043053,0.500060052,0.026129478,0.091026439,0.0038227477553584,0.999538478672732,0.0,success,,
5mmol_30C,0.00077201,1755.380838,0.5000675,0.025281591,0.090902576,0.0038161885975319,0.9995358493271348,0.0,success,,
5mmol_30C,0.000728669,1748.347032,0.500005921,0.024421463,0.090799087,0.003984415294876,0.9993231009106424,0.0,success,,
5mmol_30C,0.00077559,1481.64826,0.499812721,0.024078116,0.09186815,0.0033182028315225,0.9995357030823552,0.0,success,,
5mmol_30C,0.000763925,1499.694809,0.500032728,0.024252689,0.091987244,0.0032143044667165,0.9995253512549416,1.3013073718480198e-14,success,,
5mmol_30C,0.000726548,1455.630583,0.496921484,0.023973169,0.091711664,0.0032259072586137,0.9993449800268294,0.0,success,,
5mmol_30C,0.000722229,999.6381778,0.499880084,0.017030178,0.094883206,0.0022610454431378,0.9993075699425192,0.0,success,,
5mmol_30C,0.000712445,999.6446793,0.499913583,0.01855081,0.09488439,0.0021558308096661,0.9992981902719088,0.0,success,,
5mmol_30C,0.000712451,1001.908437,0.500022896,0.023203321,0.094996779,0.0021999742495995,0.9992927028319224,0.0,success,,
5mmol_30C,0.000734213,999.528145,0.499657125,0.022879034,0.094441699,0.0021785228879662,0.9994057156184366,0.0,success,,
5mmol_30C,0.000745642,998.9341649,0.499917071,0.021350563,0.094204745,0.0022814001755246,0.999427812880977,0.0,success,,
5mmol_30C,0.000753615,1000.183129,0.500015227,0.019893559,0.095239508,0.0022265641148195,0.9994555416346524,0.0,success,,
5mmol_30C,0.000665051,993.5760686,0.399215879,0.01955034,0.095698076,0.0017424167522516,0.9983035145812762,0.0,success,,
5mmol_30C,0.000633721,996.2387882,0.399066862,0.019562686,0.096278714,0.0017370941772079,0.997903989172034,9.794659340658603e-15,success,,
5mmol_30C,0.000618759,996.5608034,0.399898313,0.021604255,0.095364195,0.0018584416669405,0.9975797130263307,0.0,success,,
5mmol_30C,0.000620129,991.6847319,0.399288212,0.022378535,0.095441265,0.0018489518825958,0.99760674110332,0.0,success,,
5mmol_30C,0.000651134,994.0573675,0.399507565,0.023494684,0.0954458,0.001909053061074,0.9980238118103544,0.0,success,,
5mmol_30C,0.000666888,981.9675893,0.398774242,0.021653975,0.095102975,0.0017267754141474,0.998370779894511,0.0,success,,
5mmol_30C,0.000578923,998.3289379,0.299638591,0.016896813,0.097863837,0.0012712480605618,0.9949046912007676,9.774152768620794e-15,success,,
5mmol_30C,0.000568444,1000.032227,0.299961589,0.019367125,0.097314092,0.0013823468726908,0.9943486329071388,0.0,success,,
5mmol_30C,0.000551839,1017.00453,0.304068314,0.019188991,0.097307075,0.0013675493900994,0.9941093248734406,0.0,success,,
5mmol_30C,0.000527851,1005.880826,0.300892819,0.01819381,0.097334873,0.0013659043554376,0.9926133480101832,0.0,success,,
5mmol_30C,0.000545092,988.7087167,0.297422013,0.020483014,0.095757469,0.0013268505990024,0.9938290492766342,0.0,success,,
5mmol_30C,0.00055842,995.9549927,0.299342948,0.020471766,0.095767784,0.001346700373157,0.9943673703398644,0.0,success,,
5mmol_30C,0.000816628,1492.737848,0.500258137,0.026577285,0.092475198,0.0032749493771555,0.9996580655371652,0.0,success,,
5mmol_30C,0.000824805,1503.418987,0.500185869,0.026404024,0.092061076,0.0032017492439899,0.999692342748996,0.0,success,,
5mmol_30C,0.00076001,1496.994971,0.500046369,0.024838368,0.092153499,0.0032568491384315,0.999500117513106,0.0,success,,
5mmol_30C,0.000743565,1505.564556,0.500495951,0.02549999,0.091281444,0.0034255009093664,0.9994200842616368,6.481169813331831e-15,success,,
5mmol_30C,0.000792247,1501.102268,0.500037642,0.026181453,0.091722809,0.003215733779717,0.9996162299096776,0.0,success,,
5mmol_30C,0.000859751,1494.673636,0.500000991,0.026915963,0.09193442,0.0031682014531278,0.9997603995499432,0.0,success,,
5mmol_30C,0.000702358,1507.266277,0.400776022,0.020475186,0.095246531,0.0025592409446368,0.9986826294373198,0.0,success,,
5mmol_30C,0.000673997,1497.84715,0.399699582,0.021077842,0.094840091,0.0026050542039566,0.9983722452996932,0.0,success,,
5mmol_30C,0.000612475,1494.370199,0.399708235,0.020777276,0.094596124,0.0026882212685927,0.9974577495687972,0.0,success,,
5mmol_30C,0.000594114,1495.096084,0.399581026,0.020836259,0.094314624,0.0027209059754252,0.9971000921440714,0.0,success,,
5mmol_30C,0.000614664,1502.497268,0.40017337,0.020735538,0.094777095,0.0026924661910681,0.99751098687848,0.0,success,,
5mmol_30C,0.000661629,1504.546408,0.400747698,0.022464746,0.094852504,0.002756341825558,0.9981303856480834,0.0,success,,
5mmol_30C,0.000598133,1499.687325,0.300138854,0.019020628,0.105815622,0.001962544270836,0.994765003688973,0.0,success,,
5mmol_30C,0.000581599,1499.466933,0.300504127,0.024834759,0.114941913,0.0021368009413633,0.993450175597607,0.0,success,,
5mmol_30C,0.000526169,1500.087412,0.300071251,0.019110674,0.129153109,0.0020334893287015,0.9894349355454284,0.0,success,,
5mmol_30C,0.000504985,1499.740829,0.300041644,0.021812229,0.135209721,0.0021674301930096,0.9869075662927734,0.0,success,,
5mmol_30C,0.000511394,1499.81057,0.30000299,0.025789294,0.141871972,0.0022555453488464,0.9868905976659734,0.0,success,,
5mmol_30C,0.000536695,1499.842108,0.300058331,0.026643176,0.148971815,0.0022700277138184,0.9876828902159328,0.0,success,,
5mmol_30C,0.000717496,2009.693963,0.500504679,0.028744255,0.088546012,0.0045973408742062,0.9992991917483725,0.0,success,,
5mmol_30C,0.000706847,2002.74725,0.500114825,0.027856384,0.089643099,0.0044898085743692,0.99924985606537,0.0,success,,
5mmol_30C,0.000693917,2000.386241,0.499961419,0.027173981,0.089105503,0.004591264393591,0.9991444390487272,0.0,success,,
5mmol_30C,0.000681172,1999.619482,0.499988817,0.026883538,0.088787929,0.0045193237577594,0.9991121236870936,0.0,success,,
5mmol_30C,0.000678728,2005.000489,0.499839059,0.026575871,0.088617395,0.0045407867299774,0.9990915153020206,0.0,success,,
5mmol_30C,0.000719501,2002.904056,0.500128712,0.026791129,0.089807804,0.0045563823481133,0.9992762305312034,0.0,success,,
5mmol_30C,0.000615759,1999.976712,0.400015793,0.023810701,0.093052383,0.0036586072483009,0.9974820210681252,0.0,success,,
5mmol_30C,0.000603898,1999.767779,0.400113352,0.023536506,0.090973494,0.0037032022196549,0.9973133173860098,0.0,success,,
5mmol_30C,0.000572842,2000.406159,0.400022675,0.025438158,0.089342075,0.003896175157417,0.9965842175289684,0.0,success,,
5mmol_30C,0.000555569,1999.558397,0.399950722,0.025517495,0.089309071,0.0039502008932969,0.9960785204745062,0.0,success,,
5mmol_30C,0.000562159,1999.149445,0.399912062,0.026224524,0.088778442,0.0039045597891852,0.9964645576656118,0.0,success,,
10mmol_21C,0.000544087,741.1380162,0.298462091,0.039465617,0.091228983,0.0067182140357201,0.9999295333321808,0.0,success,,
10mmol_21C,0.00045836,755.3013832,0.302225065,0.045065751,0.092706983,0.0079752965859615,0.9996818620367997,0.0,success,,
10mmol_21C,0.000302308,739.6016638,0.296834975,0.035464901,0.099475516,0.0082738878151851,0.9939128837636308,0.0,success,,
10mmol_21C,0.000204621,743.101701,0.297018934,0.036502928,0.096633422,0.0137355860429325,0.9473369356351236,0.0,success,,
10mmol_21C,0.000521937,747.9569472,0.40036071,0.03591162,0.089501397,0.0082286184454851,0.9999334035489368,0.0,success,,
10mmol_21C,0.000449277,749.974026,0.399764919,0.038463404,0.095001254,0.0090343015370389,0.9997627977029452,0.0,success,,
10mmol_21C,0.000285464,741.2064013,0.399049243,0.03516927,0.106014196,0.0106990030688494,0.9933319326107728,0.0,success,,
10mmol_21C,0.000241941,750.207822,0.400023387,0.066916982,0.106790285,0.0319700798053533,0.9833453533328348,0.0,success,,
10mmol_21C,0.000657257,748.3678846,0.503339395,0.028484735,0.092660582,0.0087920818031306,0.9999965453549672,0.0,success,,
10mmol_21C,0.000528084,758.1221102,0.500358875,0.042228937,0.09939603,0.0104532078598755,0.9999650418859825,0.0,success,,
10mmol_21C,0.000359151,742.2261453,0.498404384,0.03516519,0.108600243,0.0117606116905831,0.9991587460071292,6.573346691004487e-15,success,,
