exp,phi_0,dV_ges,eps_0,h_d_0,h_dis_0,V_dis_total,Sep. Eff.,Vol_imbalance [%],status,error
2mmol_21C,0.000561061,1500.685931,0.299964002,0.184796251,0.039184579,,,,failed,All components of the initial state `y0` must be finite.
2mmol_21C,0.000801282,1995.993525,0.499700035,0.147204564,0.023888031,0.04420276003043057,0.9999765824809271,0.0,success,
2mmol_21C,0.000810026,2004.211086,0.499961184,0.150603097,0.029039612,0.046144389662033346,0.9999794973328713,0.0,success,
2mmol_21C,0.000788146,2001.955094,0.499969199,0.149739201,0.028992381,0.04616240292139186,0.9999730781630431,0.0,success,
2mmol_21C,0.000713023,1997.598657,0.399805314,0.151858191,0.025204136,0.038825758859520304,0.9998634951362426,0.0,success,
2mmol_21C,0.000695101,2001.264876,0.400032633,0.1500815,0.031842179,0.04105214594084943,0.9998297840016892,0.0,success,
2mmol_21C,0.000701274,1924.430228,0.405192863,0.149266504,0.032997345,0.04118346708078674,0.999871805181285,0.0,success,
2mmol_30C,0.000736455,994.2105979,0.499857828,0.100277099,0.017182822,0.002964077075803985,0.9995177967914791,0.0,success,
2mmol_30C,0.000729699,997.5086511,0.49970384,0.100203749,0.018852822,0.0030625775466779073,0.999477959827557,1.9564380803332648e-14,success,
2mmol_30C,0.000696677,1007.257906,0.499389616,0.100236349,0.022076011,0.0032375735836328284,0.9992898782141674,0.0,success,
2mmol_30C,0.000642362,1000.261072,0.40010973,0.100236349,0.01721428,0.0024854646650661243,0.9984465489461253,0.0,success,
2mmol_30C,0.000680124,1003.011034,0.399540616,0.100497148,0.019736321,0.0025224609859052344,0.9988086620560748,9.728526627922961e-15,success,
2mmol_30C,0.000592162,1010.883414,0.401008022,0.100264874,0.020059832,0.002788169739305432,0.9975364481221962,9.65276451985544e-15,success,
2mmol_30C,0.000593904,1008.339618,0.301374914,0.100285249,0.017153651,0.0020308668265793875,0.9965579339761136,0.0,success,
2mmol_30C,0.000583647,997.8167071,0.299300475,0.100709046,0.019624799,0.002033852097292406,0.9963035675233305,0.0,success,
2mmol_30C,0.000510028,1008.09181,0.301688052,0.099820701,0.01704373,0.0020835989987583593,0.9936208306093152,0.0,success,
2mmol_30C,0.000805085,1497.098344,0.500176961,0.1000652,0.023555221,0.004629885357930869,0.9996681094143559,0.0,success,
2mmol_30C,0.000767246,1498.859949,0.499958571,0.09995925,0.023109551,0.00476232430637705,0.9995472039682806,0.0,success,
2mmol_30C,0.000706178,1497.170512,0.499902324,0.09994295,0.024668497,0.004955196319625964,0.9992460305599237,0.0,success,
2mmol_30C,0.000690491,1504.55173,0.399974702,0.100737571,0.020796282,0.00390905190599578,0.9987359025382326,0.0,success,
2mmol_30C,0.000668726,1502.45683,0.400318473,0.100146699,0.020327869,0.003897626846858918,0.9985467658523294,0.0,success,
2mmol_30C,0.000608862,1501.329022,0.400164975,0.0999185,0.021022189,0.004032585315413912,0.9976956270117331,0.0,success,
2mmol_30C,0.000586386,1499.920685,0.299993344,0.129657702,0.018880044,0.0030704415900009215,0.993626873189072,0.0,success,
2mmol_30C,0.000587436,1500.302083,0.300089995,0.167432763,0.017454755,0.002926732545915344,0.9911616399660207,0.0,success,
2mmol_30C,0.000521472,1500.327201,0.300294854,0.194400978,0.018037183,,,,failed,All components of the initial state `y0` must be finite.
2mmol_30C,0.000734309,2000.66034,0.500126848,0.097555012,0.026662858,0.00686492955324389,0.9993356979208508,0.0,success,
2mmol_30C,0.000698241,2002.427889,0.500111765,0.099649552,0.025932648,0.006663689996317929,0.9990987053927513,0.0,success,
2mmol_30C,0.000686666,2012.648973,0.500056697,0.099095355,0.025288621,0.006906001991247867,0.9989873405873599,0.0,success,
2mmol_30C,0.000603176,1999.154375,0.399837705,0.101524042,0.023257283,0.005521819892191972,0.9971823879048248,0.0,success,
2mmol_30C,0.00060376,1998.748421,0.399936998,0.098867156,0.023698463,0.005691943812025963,0.9972375957870756,0.0,success,
2mmol_30C,0.000724233,1011.658543,0.504979029,0.099511002,0.022361436,0.003188360597667824,0.9994687587559645,0.0,success,
5mmol_30C,0.000842952,995.9094964,0.500504697,0.099152404,0.008828605,0.0024229562810102433,0.9996582272468645,0.0,success,
5mmol_30C,0.000709604,1004.513244,0.499650185,0.100521597,0.009104708,0.0024077977773444142,0.9990850953370887,0.0,success,
5mmol_30C,0.000540148,999.9576272,0.499628442,0.100603097,0.010441971,0.002721986359867636,0.9965492435638311,0.0,success,
5mmol_30C,0.000504717,996.0308607,0.499569918,0.100472698,0.009531859,0.0026967012776620116,0.9956694375895124,0.0,success,
5mmol_30C,0.000450547,992.1189828,0.500293855,0.099005705,0.0111031,0.002814739049905617,0.9938251174801911,0.0,success,
5mmol_30C,0.00064451,1001.651588,0.400225581,0.099046455,0.008045687,0.0019278616186587678,0.9977807567814622,0.0,success,
5mmol_30C,0.000613794,988.5414591,0.398990122,0.099258354,0.009825297,0.0019223825657586784,0.9972697697467301,0.0,success,
5mmol_30C,0.00053531,999.5341136,0.399826663,0.099315403,0.013144531,0.0021659750574496875,0.9949920534357086,0.0,success,
5mmol_30C,0.000529787,1000.397024,0.400221829,0.100114099,0.017416073,0.002348692057857594,0.9944609032018947,0.0,success,
5mmol_30C,0.000587404,991.7361678,0.297833152,0.099233904,0.011042947,0.0014168251236874546,0.9951258263506438,9.839128458948538e-15,success,
5mmol_30C,0.000566957,999.2024055,0.300000414,0.099046455,0.0121653,0.0015080400230748157,0.994329756153554,9.765608548036606e-15,success,
5mmol_30C,0.000526996,998.6776181,0.299608101,0.100374898,0.01241856,0.0015439056684950771,0.9922818991509214,0.0,success,
5mmol_30C,0.000505023,1002.287921,0.30088995,0.098997555,0.012479322,0.001603857133349795,0.9909400247731679,0.0,success,
5mmol_30C,0.000500293,997.4178367,0.29924144,0.100546047,0.023336494,0.001982440212703537,0.9898466545229879,9.783081065257174e-15,success,
5mmol_30C,0.000981831,1508.763359,0.500184752,0.099820701,0.018538101,0.003658271953468766,0.9998466711333107,0.0,success,
5mmol_30C,0.000951952,1502.164331,0.500044181,0.099519152,0.017770844,0.003436621393442217,0.9998251267120235,0.0,success,
5mmol_30C,0.000946269,1506.821222,0.500062034,0.099551752,0.018000709,0.0035070980469186523,0.9998151336366206,6.475764616201789e-15,success,
5mmol_30C,0.00088069,1511.65473,0.499983585,0.100448248,0.018401958,0.0038269807575736564,0.9996806697316638,0.0,success,
5mmol_30C,0.000902724,1508.851861,0.499966566,0.099299104,0.016596133,0.00350256289404143,0.9997554652452229,0.0,success,
5mmol_30C,0.000901042,1502.457564,0.499958147,0.09997555,0.016394045,0.0035262021681368733,0.9997445094841373,0.0,success,
5mmol_30C,0.000820483,1498.828806,0.399908296,0.10004075,0.014792895,0.0028247004496713773,0.9992944842887287,0.0,success,
5mmol_30C,0.000801039,1499.690981,0.399943437,0.099633252,0.015203745,0.0030150518533796594,0.9991571330739674,0.0,success,
5mmol_30C,0.000784024,1509.650211,0.400676776,0.099445803,0.015354502,0.0029017150814101863,0.9991110419579691,0.0,success,
5mmol_30C,0.00074399,1500.71752,0.400084099,0.0999674,0.014220261,0.0029891041027227967,0.9987649205504342,0.0,success,
5mmol_30C,0.000724112,1508.852252,0.400643926,0.099225754,0.014384761,0.002944125031677303,0.9986598392678436,0.0,success,
5mmol_30C,0.000748112,1510.192861,0.401775903,0.098549307,0.01249406,0.0028886786397581223,0.9988853467029336,0.0,success,
5mmol_30C,0.000658736,1499.692819,0.300100802,0.130431948,0.014887902,0.00227254379817292,0.9947655150664758,0.0,success,
5mmol_30C,0.000675516,1499.784272,0.30008242,0.169095355,0.028479987,0.013589208385837144,0.9915721363896413,0.0,success,
5mmol_30C,0.00061366,1500.344791,0.299896279,0.185599022,0.041434568,,,,failed,All components of the initial state `y0` must be finite.
5mmol_30C,0.000590788,1500.030729,0.29998381,0.195110024,0.041864924,,,,failed,All components of the initial state `y0` must be finite.
5mmol_30C,0.000642928,1500.042765,0.299968969,0.192176039,0.042378776,,,,failed,All components of the initial state `y0` must be finite.
5mmol_30C,0.000806673,1959.116691,0.499382286,0.093496333,0.023789242,0.005473726321061912,0.999480871124994,0.0,success,
5mmol_30C,0.000808794,2000.733189,0.500098049,0.099698452,0.02576226,0.005812812370848553,0.9993500443850866,0.0,success,
5mmol_30C,0.000800771,1998.287746,0.500007382,0.099592502,0.025095773,0.005324119551146008,0.999374337603834,0.0,success,
5mmol_30C,0.00080427,2003.471999,0.500126503,0.099885901,0.024902899,0.005286432514986105,0.9993905177764073,0.0,success,
5mmol_30C,0.000814485,2000.067507,0.499979151,0.099690302,0.024638027,0.005689428515107383,0.9993877078690563,0.0,success,
5mmol_30C,0.0008186,2002.114144,0.499947463,0.1000652,0.024650034,0.005629793482656492,0.999404596887846,0.0,success,
5mmol_30C,0.000747254,2000.161034,0.40002526,0.120676447,0.024286561,0.004517783092384293,0.9976966939178049,0.0,success,
5mmol_30C,0.000722523,1999.773172,0.399954759,0.118337408,0.025328344,0.004908559125507492,0.9972327758029791,0.0,success,
5mmol_30C,0.000708134,1999.936531,0.399996125,0.115493073,0.02661153,0.004662976445443816,0.9973033896789019,0.0,success,
5mmol_30C,0.000689777,2000.057461,0.399925656,0.109388753,0.022558204,0.004688733982676891,0.9972744442404131,0.0,success,
5mmol_30C,0.000698869,2000.105681,0.400008829,0.103292584,0.019828792,0.004284223778568543,0.9979654749178354,0.0,success,
5mmol_30C,0.000729703,1711.30041,0.373198366,0.100224124,0.018788206,0.0033465823887857482,0.998406751191143,0.0,success,
5mmol_30C,0.000811755,1501.925813,0.500081897,0.099331703,0.025173662,0.0042699004131345536,0.9994487083770842,6.496871861386365e-15,success,
5mmol_30C,0.000796639,1500.334629,0.500019884,0.1000326,0.024801119,0.004001692050437553,0.9994082241957305,6.503762136633015e-15,success,
5mmol_30C,0.000759009,1500.54942,0.500010124,0.099869601,0.024511805,0.0041163664582459375,0.9992102388993914,0.0,success,
5mmol_30C,0.000750961,1745.095888,0.499998599,0.099763651,0.024870665,0.004723930058900665,0.9991400211534747,0.0,success,
5mmol_30C,0.000763323,1753.050784,0.500061987,0.099788101,0.025023548,0.005013112626974908,0.9991610650818286,5.566193313638506e-15,success,
