phi_0,dV_ges,Sep. Eff.,Vol_imbalance [%],status
0.0002,250,0.9021730244271405,0.0,success
0.00025,250,0.9507493189492139,0.0,success
0.0003,250,0.9702149390539991,0.0,success
0.00035,250,0.979894264073753,0.0,success
0.0004,250,0.9856677990857491,0.0,success
0.00045,250,0.989661793734692,0.0,success
0.0005,250,0.9929504675903994,0.0,success
0.00055,250,0.9950920027627579,0.0,success
0.0006,250,0.9968565251870309,0.0,success
0.00065,250,0.9978853588345078,0.0,success
0.0007,250,0.9986421969896174,0.0,success
0.00075,250,0.99914222076909,0.0,success
0.0008,250,0.9994132323804139,0.0,success
0.00085,250,0.9996293871289128,0.0,success
0.0009,250,0.9997471279982136,0.0,success
0.00095,250,0.9998337140364056,0.0,success
0.001,250,0.99988153801856,0.0,success
0.0002,500,0.9068885851980445,0.0,success
0.00025,500,0.9522439316321948,0.0,success
0.0003,500,0.9709337868416754,0.0,success
0.00035,500,0.9798057526532297,0.0,success
0.0004,500,0.9854148872522032,0.0,success
0.00045,500,0.9896541330223272,0.0,success
0.0005,500,0.9926589082675195,0.0,success
0.00055,500,0.9950270018377403,0.0,success
0.0006,500,0.9966660633727891,0.0,success
0.00065,500,0.9978374963592133,0.0,success
0.0007,500,0.9986062257091658,0.0,success
0.00075,500,0.9990708195878829,0.0,success
0.0008,500,0.999393435139248,0.0,success
0.00085,500,0.9996158904656811,0.0,success
0.0009,500,0.9997370758308155,0.0,success
0.00095,500,0.9998266711647367,0.0,success
0.001,500,0.9998837062267323,0.0,success
0.0002,750,0.8659002505550246,0.0,success
0.00025,750,0.9475577515281761,0.0,success
0.0003,750,0.970481402356895,0.0,success
0.00035,750,0.9798158642744144,0.0,success
0.0004,750,0.9849943852611683,0.0,success
0.00045,750,0.9892543235458491,0.0,success
0.0005,750,0.9923015773535966,0.0,success
0.00055,750,0.9949345655123889,0.0,success
0.0006,750,0.9965892172017834,0.0,success
0.00065,750,0.9977791361326965,0.0,success
0.0007,750,0.9985635800395644,0.0,success
0.00075,750,0.9990389809646032,0.0,success
0.0008,750,0.9993706975642062,0.0,success
0.00085,750,0.9996004796575986,0.0,success
0.0009,750,0.9997256804954876,0.0,success
0.00095,750,0.9998187143632342,0.0,success
0.001,750,0.99987807313738,0.0,success
0.0002,1000,0.7823280443590555,0.0,success
0.00025,1000,0.9065902197704446,0.0,success
0.0003,1000,0.9604807280373886,0.0,success
0.00035,1000,0.9788703419885314,0.0,success
0.0004,1000,0.9847606305384803,0.0,success
0.00045,1000,0.9887345041601047,0.0,success
0.0005,1000,0.9921374372347737,0.0,success
0.00055,1000,0.9946071955891426,0.0,success
0.0006,1000,0.9964916467086071,0.0,success
0.00065,1000,0.9977078739770305,0.0,success
0.0007,1000,0.9985127545178206,0.0,success
0.00075,1000,0.999001731377439,0.0,success
0.0008,1000,0.9993443866273435,0.0,success
0.00085,1000,0.9995827499871971,0.0,success
