experiment,alpha,total_mape,total_exp
ye,0.5,85,36
ye,1.0,61,36
ye,1.5,43,36
ye,2.0,43,36
ye,2.5,43,36
ye,3.0,43,36
ye,3.5,44,36
ye,4.0,44,36
ye,4.5,42,36
ye,4.5,42,36
ye,5.0,42,36
ye,5.5,42,36
ye,5.75,42,36
ye,6.0,44,36
ye,6.25,44,36
ye,6.5,45,36
ye,7.0,46,36
ye,7.5,49,36
ye,10.0,76,36
