experiment,alpha,total_mape,total_exp
ye,0.5,28,9
ye,1.0,8,9
ye,1.5,28,9
ye,2.0,29,9
ye,2.5,28,9
ye,3.0,28,9
ye,3.5,27,9
ye,4.0,26,9
ye,4.5,25,9
ye,5.0,24,9
ye,5.5,15,9
ye,5.75,12,9
ye,6.0,12,9
ye,6.25,7,9
ye,6.5,19,9
ye,7.0,25,9
ye,7.5,24,9
