experiment,alpha,total_mape,total_exp
ye,0.5,65,9
ye,1.0,30,9
ye,1.5,16,9
ye,2.0,19,9
ye,2.5,17,9
ye,3.0,19,9
ye,3.5,18,9
ye,4.0,16,9
ye,4.5,16,9
ye,5.0,16,9
ye,5.5,16,9
ye,6.0,15,9
ye,6.5,13,9
ye,7.0,15,9
ye,7.5,23,9
ye,8.0,46,9
